name,type,start_time,duration,"protected_id","data","index","byte_framing_error","header_sync_expected","checksum","checksum_mismatch"
"LIN","data_or_checksum",0.583415875,0.000494563,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",0.619392938,0.000777562,,,,,,,
"LIN","header_sync",0.620278438,0.000494563,,,,,,,
"LIN","header_pid",0.620799375,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",0.629364313,0.000777562,,,,,,,
"LIN","header_sync",0.630249875,0.000494563,,,,,,,
"LIN","header_pid",0.63077075,0.000494562,0x000000000000000F,,,,,,
"LIN","header_break",0.669317938,0.000777562,,,,,,,
"LIN","header_sync",0.670203437,0.000494563,,,,,,,
"LIN","header_pid",0.670724375,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",0.6793645,0.000777562,,,,,,,
"LIN","header_sync",0.680250062,0.000494563,,,,,,,
"LIN","header_pid",0.680770937,0.000494563,0x000000000000001C,,,,,,
"LIN","data",0.681299813,0.000494562,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",0.681819313,0.000494562,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",0.68234025,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",0.682861125,0.000494563,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",0.683382062,0.000494563,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",0.719435313,0.000777562,,,,,,,
"LIN","header_sync",0.720320813,0.000494563,,,,,,,
"LIN","header_pid",0.72084175,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.729357625,0.000777562,,,,,,,
"LIN","header_sync",0.730243187,0.000494563,,,,,,,
"LIN","header_pid",0.730764063,0.000494563,0x000000000000000F,,,,,,
"LIN","header_break",0.7693235,0.0007775,,,,,,,
"LIN","header_sync",0.770209,0.000494563,,,,,,,
"LIN","header_pid",0.770729937,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.779372625,0.000777562,,,,,,,
"LIN","header_sync",0.780258125,0.000494563,,,,,,,
"LIN","header_pid",0.780779062,0.000494562,0x000000000000001C,,,,,,
"LIN","data",0.781309188,0.000494563,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",0.781827438,0.000494562,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",0.782348313,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",0.78286925,0.000494563,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",0.783390188,0.000494563,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",0.819410688,0.0007775,,,,,,,
"LIN","header_sync",0.820296187,0.000494563,,,,,,,
"LIN","header_pid",0.820817062,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",0.829368563,0.000777562,,,,,,,
"LIN","header_sync",0.830254063,0.000494563,,,,,,,
"LIN","header_pid",0.830775,0.000494562,0x000000000000000F,,,,,,
"LIN","header_break",0.869330188,0.000777563,,,,,,,
"LIN","header_sync",0.870215688,0.000494562,,,,,,,
"LIN","header_pid",0.870736625,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",0.879363875,0.000777562,,,,,,,
"LIN","header_sync",0.880249375,0.000494563,,,,,,,
"LIN","header_pid",0.880770313,0.000494562,0x000000000000001C,,,,,,
"LIN","data",0.881299,0.000494562,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",0.881818688,0.000494563,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",0.882339625,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",0.8828605,0.000494562,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",0.883381437,0.000494563,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",0.919565562,0.000777563,,,,,,,
"LIN","header_sync",0.920451062,0.000494563,,,,,,,
"LIN","header_pid",0.920972,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.929338,0.000777563,,,,,,,
"LIN","header_sync",0.9302235,0.000494563,,,,,,,
"LIN","header_pid",0.930744438,0.000494563,0x000000000000000F,,,,,,
"LIN","header_break",0.969340375,0.0007775,,,,,,,
"LIN","header_sync",0.970225875,0.000494563,,,,,,,
"LIN","header_pid",0.97074675,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.979383688,0.0007775,,,,,,,
"LIN","header_sync",0.980269188,0.000494563,,,,,,,
"LIN","header_pid",0.980790125,0.000494563,0x000000000000001C,,,,,,
"LIN","data",0.981318125,0.000494562,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",0.981838437,0.000494563,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",0.982359375,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
